"","date","ws","wd"
"151",2009-01-07 06:00:00,2.86,359
"152",2009-01-07 07:00:00,2.36,354
"153",2009-01-07 08:00:00,2.36,360
"154",2009-01-07 09:00:00,1.76,NA
"155",2009-01-07 10:00:00,1.76,43
"156",2009-01-07 11:00:00,0,0
"157",2009-01-07 12:00:00,0,0
"158",2009-01-07 13:00:00,0,0
"159",2009-01-07 14:00:00,1.76,57
"160",2009-01-07 15:00:00,0,0
"161",2009-01-07 16:00:00,0,0
"162",2009-01-07 17:00:00,0,0
"163",2009-01-07 18:00:00,0,0
"164",2009-01-07 19:00:00,0,0
"165",2009-01-07 20:00:00,0,0
"166",2009-01-07 21:00:00,0,0
"167",2009-01-07 22:00:00,0,0
"168",2009-01-07 23:00:00,0,0
"169",2009-01-08 00:00:00,0,0
"170",2009-01-08 01:00:00,0,0
"171",2009-01-08 02:00:00,1.76,18
"172",2009-01-08 03:00:00,0,0
"173",2009-01-08 04:00:00,0,0
"174",2009-01-08 05:00:00,0,0
"175",2009-01-08 06:00:00,0,0
"176",2009-01-08 07:00:00,0,0
"177",2009-01-08 08:00:00,0,0
"178",2009-01-08 09:00:00,1.76,170
"179",2009-01-08 10:00:00,1.76,319
"180",2009-01-08 11:00:00,1.76,17
"181",2009-01-08 12:00:00,3.36,349
"182",2009-01-08 13:00:00,2.36,NA
"183",2009-01-08 14:00:00,3.36,12
"184",2009-01-08 15:00:00,4.36,349
"185",2009-01-08 16:00:00,0,0
"186",2009-01-08 17:00:00,0,0
"187",2009-01-08 18:00:00,1.76,233
"188",2009-01-08 19:00:00,3.36,242
"189",2009-01-08 20:00:00,0,0
"190",2009-01-08 21:00:00,1.76,218
"191",2009-01-08 22:00:00,2.36,230
"192",2009-01-08 23:00:00,2.86,234
"193",2009-01-09 00:00:00,0,0
"194",2009-01-09 01:00:00,4.86,356
"195",2009-01-09 02:00:00,5.36,336
"196",2009-01-09 03:00:00,7.96,354
"197",2009-01-09 04:00:00,8.46,346
"198",2009-01-09 05:00:00,3.86,349
"199",2009-01-09 06:00:00,2.36,193
"200",2009-01-09 07:00:00,0,0
"201",2009-01-09 08:00:00,2.86,30
"202",2009-01-09 09:00:00,5.36,14
"203",2009-01-09 10:00:00,5.96,21
"204",2009-01-09 11:00:00,6.96,7
"205",2009-01-09 12:00:00,5.36,14
"206",2009-01-09 13:00:00,7.46,5
"207",2009-01-09 14:00:00,5.96,10
"208",2009-01-09 15:00:00,3.86,13
"209",2009-01-09 16:00:00,3.86,31
"210",2009-01-09 17:00:00,1.76,24
"211",2009-01-09 18:00:00,0,0
"212",2009-01-09 19:00:00,4.86,1
"213",2009-01-09 20:00:00,5.36,19
"214",2009-01-09 21:00:00,2.86,110
"215",2009-01-09 22:00:00,1.76,84
"216",2009-01-09 23:00:00,0,0
"217",2009-01-10 00:00:00,0,0
"218",2009-01-10 01:00:00,0,0
"219",2009-01-10 02:00:00,0,0
"220",2009-01-10 03:00:00,0,0
"221",2009-01-10 04:00:00,0,0
"222",2009-01-10 05:00:00,0,0
"223",2009-01-10 06:00:00,0,0
"224",2009-01-10 07:00:00,0,0
"225",2009-01-10 08:00:00,0,0
"226",2009-01-10 09:00:00,0,0
"227",2009-01-10 10:00:00,2.36,31
"228",2009-01-10 11:00:00,2.36,23
"229",2009-01-10 12:00:00,1.76,NA
"230",2009-01-10 13:00:00,2.36,56
"231",2009-01-10 14:00:00,2.36,46
"232",2009-01-10 15:00:00,0,0
"233",2009-01-10 16:00:00,1.76,148
"234",2009-01-10 17:00:00,0,0
"235",2009-01-10 18:00:00,0,0
"236",2009-01-10 19:00:00,0,0
"237",2009-01-10 20:00:00,0,0
"238",2009-01-10 21:00:00,0,0
"239",2009-01-10 22:00:00,0,0
"240",2009-01-10 23:00:00,0,0
"241",2009-01-11 00:00:00,0,0
"242",2009-01-11 01:00:00,1.76,64
"243",2009-01-11 02:00:00,1.76,283
"244",2009-01-11 03:00:00,0,0
"245",2009-01-11 04:00:00,0,0
"246",2009-01-11 05:00:00,1.76,184
"247",2009-01-11 06:00:00,0,0
"248",2009-01-11 07:00:00,0,0
"249",2009-01-11 08:00:00,0,0
"250",2009-01-11 09:00:00,0,0
"251",2009-01-11 10:00:00,2.86,NA
"252",2009-01-11 11:00:00,2.86,30
"253",2009-01-11 12:00:00,1.76,45
"254",2009-01-11 13:00:00,2.36,74
"255",2009-01-11 14:00:00,0,0
"256",2009-01-11 15:00:00,0,0
"257",2009-01-11 16:00:00,0,0
"258",2009-01-11 17:00:00,0,0
"259",2009-01-11 18:00:00,0,0
"260",2009-01-11 19:00:00,0,0
"261",2009-01-11 20:00:00,0,0
"262",2009-01-11 21:00:00,2.86,56
"263",2009-01-11 22:00:00,4.86,71
"264",2009-01-11 23:00:00,3.36,69
"265",2009-01-12 00:00:00,2.86,48
"266",2009-01-12 01:00:00,0,0
"267",2009-01-12 02:00:00,0,0
"268",2009-01-12 03:00:00,1.76,356
"269",2009-01-12 04:00:00,3.86,347
"270",2009-01-12 05:00:00,2.36,358
"271",2009-01-12 06:00:00,1.76,18
"272",2009-01-12 07:00:00,0,0
"273",2009-01-12 08:00:00,0,0
"274",2009-01-12 09:00:00,6.46,1
"275",2009-01-12 10:00:00,10.06,358
"276",2009-01-12 11:00:00,9.56,9
"277",2009-01-12 12:00:00,8.46,358
"278",2009-01-12 13:00:00,8.46,358
"279",2009-01-12 14:00:00,6.46,1
"280",2009-01-12 15:00:00,7.46,359
"281",2009-01-12 16:00:00,7.46,346
"282",2009-01-12 17:00:00,4.36,59
"283",2009-01-12 18:00:00,2.36,82
"284",2009-01-12 19:00:00,1.76,355
